Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
473.0423550233581,-51.47028411463899,51.44683864381628,-128.977333996041
499.3279614343128,-52.55399263560778,52.52014572206648,-124.2476304513242
527.0741835746085,-51.25912560723928,51.20992763465932,-115.7807827464039
556.3621836695125,-51.07343300982721,51.0091740448221,-108.9772564322173
587.2776338962777,-50.76709442407963,50.68138033009551,-103.1747443141533
619.9109669892352,-50.04437610663071,49.93539759778678,-98.57043123751413
654.3576407702947,-49.25442697836209,49.11987257194602,-92.12522860717269
690.7184173786378,-49.37296539218221,49.20954491513257,-88.12101844766813
729.0996580164152,-48.39231303537674,48.19244964046744,-85.13802629187636
769.6136340726084,-48.1972353652099,47.96269136247788,-84.53203876832876
812.3788555351529,-47.22246128238859,46.94364042293454,-84.71138605646473
857.5204176519838,-46.77052925840466,46.44503861445799,-80.02961146265817
905.1703668550409,-46.30437905241598,45.93072313225537,-78.6393036603244
955.4680870176196,-45.90182974891995,45.47197078109878,-74.26665208188193
1008.560707174926,-45.3595343451416,44.84460901655964,-74.41077698622273
1064.603531900516,-44.19854638938914,43.57459261333218,-75.76343866636847
1123.760495597494,-44.45713440245368,43.69997615417883,-70.22984684731921
1186.204642033382,-44.28745180696601,43.38126064712669,-72.12723930556297
1252.118630521363,-43.70479384054418,42.6386290410181,-70.8738975442439
1321.695270228569,-42.9069080019494,41.66519522244688,-71.04901904749079
1395.138084174339,-43.2755973741904,41.85287971324612,-67.05024884156161
1472.661904568243,-42.73402291727955,41.11816652243407,-64.72921458171889
1554.493501229343,-42.95468827659326,41.13367796644592,-65.39509579804748
1640.872244924893,-42.26260702136078,40.23165291823147,-61.93197596270947
1732.050807568878,-42.3406899991025,40.09586831829494,-64.81437063084913
1828.295901328579,-42.05937644000378,39.60400781716862,-58.32862838187975
1929.889058801152,-41.98383041934935,39.32249707221762,-59.37388736333381
2037.127456542409,-41.8603989897199,38.99070094104861,-56.906042420619
2150.3247843567,-41.71157739033408,38.63921162498644,-56.89103877303114
2269.812162890766,-41.68651483974307,38.4143667286957,-53.9005607532395
2395.93911221563,-41.33539607297402,37.87633714496143,-50.94232910882914
2529.074574229814,-41.13722812998286,37.49657215565287,-50.0653358854977
2669.607991874575,-40.92525889040525,37.11294218175151,-46.53822046229651
2817.950448318018,-40.9643882978738,36.9895826967831,-43.92474709254219
2974.53586944041,-41.13976265421154,37.0122227974018,-41.15138264125452
3139.822293138175,-40.83062993876362,36.55225298801815,-38.87730111227596
3314.293209159418,-41.02756154930312,36.60776533119889,-38.17743105362086
3498.458973390326,-41.07216375042503,36.51657793417268,-36.07066816440603
3692.858300729358,-40.70889889162157,36.03218262764723,-31.84855682011869
3898.05984091619,-41.2690325323793,36.47172806116212,-28.14134526732238
4114.663841924968,-41.03579817050269,36.13276106314985,-28.91994232777382
4343.303905787507,-41.41587248759777,36.39809117369083,-28.23672922615815
4584.648841982612,-41.48232773719869,36.37270684920941,-23.74392280170415
4839.404623812859,-41.5454946164257,36.34330196763648,-24.13139433159816
5108.316453491659,-41.73790700847776,36.44512859008662,-24.30175275468781
5392.170941981291,-42.17207799010226,36.80277713015047,-21.97295843414871
5691.798409958253,-42.04973065950567,36.60769456897998,-23.11358738759207
6008.075316636675,-42.05335631102096,36.52856440677119,-24.71314187089808
6341.926823554461,-42.13512421800499,36.54659385054159,-24.04311674628661
6694.329500821696,-42.75245684164207,37.09278766027721,-23.48146139297216
7066.314183747513,-42.52498115668239,36.82383771875595,-26.21410046345959
7458.968988201474,-43.10579690719231,37.32817797221433,-25.40064303884806
7873.442493529977,-42.92517423655557,37.11394819075924,-23.60614334589854
8310.947102338203,-42.98695695579404,37.11977215554257,-27.36883893233781
8772.762586965451,-42.75410002416373,36.83180060090609,-30.08381384892557
9260.239833027996,-43.02555740189909,37.06269214759983,-27.05741749684705
9774.804790979815,-42.61319409255049,36.61585862753022,-28.77783335825281
10317.96264725026,-42.02085322619497,35.98423047579227,-31.96093235913113
10891.3022271599,-42.79417443163037,36.71826957848725,-31.70713306050749
11496.50064249365,-42.20819735674885,36.08931369771804,-32.65903648001151
12135.32819732636,-41.95763035211053,35.80551320024053,-34.55973003893192
12809.65356645094,-42.50180119669983,36.32621874864476,-38.5967384890866
13521.4492615569,-42.12611023989677,35.89731203993031,-40.23358044884185
14272.79740114883,-41.79453061743375,35.53029693783571,-35.82484060390039
15065.89580108255,-41.73327327049341,35.45146721916448,-41.69485347906969
15903.06440353498,-41.85521115050222,35.53828840226242,-42.74596519233904
16786.75206321347,-41.65010330390053,35.28392923333244,-42.41589081530316
17719.54371065511,-41.11291317724607,34.74225780677654,-39.49577696236501
18704.1679135703,-41.29372029513093,34.89242353620575,-43.42407323701042
19743.50485834821,-41.12053142582397,34.68291282326205,-41.14066308761528
20840.59477507182,-40.48932055954315,34.00863921417263,-44.77168382923376
21998.64683068679,-40.22871957690106,33.72973627035843,-47.37411709546149
23221.04851633812,-40.00094558766023,33.49173360314033,-47.70022161570546
24511.3755563344,-40.55009382948511,34.00322242519222,-47.26467138601644
25873.40236772447,-39.64965154676865,33.06665069384356,-49.6994445628973
27311.11310108298,-39.11040354969672,32.50441267482356,-51.22254934001228
28828.71329480073,-39.13226715073758,32.48096847470184,-50.30586615115181
30430.64217697025,-38.60825138329236,31.94477225240958,-54.14191475460512
32121.58565085208,-38.68038210902628,32.0038310417346,-57.00278559199186
33906.4900019062,-38.38649932839434,31.69736923136941,-56.34350488198473
35790.57636648358,-37.75895398603028,31.03103752257592,-55.27305436241613
37779.35600450177,-38.3728519438144,31.64073626991072,-53.54683548095143
39878.64642077887,-37.02357039816103,30.24806686253513,-60.72454535097039
42094.58838218413,-36.99209920897631,30.20549364892999,-59.97823446478459
44433.66388038264,-36.64486356558084,29.841132815349,-53.90524546315689
46902.715092718,-36.52267658205276,29.68058963508583,-57.82482346403525
49508.96439669729,-36.41871291745293,29.57260141975271,-61.40402488980578
52260.03549662304,-36.20164856498346,29.3308467277332,-62.11605798497338
55163.97572417187,-35.1372509478415,28.24429449106903,-60.88884108277986
58229.27957815227,-35.47693740935091,28.57097683436155,-61.89012399667614
61464.91357229889,-34.30549640283105,27.36216810172408,-65.29632776186133
64880.34246378801,-34.08625505223662,27.13418823692814,-67.78137716308859
68485.55693919561,-34.03851472379841,27.06934201759696,-67.30496278353414
72291.10283888537,-33.08277074097757,26.04561626332318,-66.47731272354233
76308.11200531189,-32.93717513200881,25.89339456822697,-65.73723144607845
80548.33484547528,-32.39622408114392,25.29071148738344,-68.01833673885295
85024.17470277814,-32.16652425619439,25.08340596100418,-65.30382232082368
89748.72413882845,-32.20526158935768,25.08601375825718,-64.89474160653933
94735.80323131713,-30.54143064509501,23.35585935533102,-65.64496606811781
100000,-31.07074426145275,23.83411953853874,-62.80361670729639
